Date,Open,High,Low,Close,Adj Close,Volume
23-05-2012,6882.5,6907.950195,6837.600098,6894.200195,6894.200195,236100
24-05-2012,6998.200195,7044.350098,6937.299805,7016.25,7016.25,291200
25-05-2012,6991.25,7034.700195,6948.149902,7010.399902,7010.399902,186600
28-05-2012,7014.100098,7075.399902,7014.100098,7062.5,7062.5,130100
29-05-2012,7083.75,7118.399902,7056.950195,7087.549805,7087.549805,188900
30-05-2012,7090.149902,7105.549805,7052.149902,7066.899902,7066.899902,239000
31-05-2012,6996.049805,7170.5,6954.200195,7073.549805,7073.549805,580200
01-06-2012,7063.600098,7075.5,6866.100098,6915.100098,6915.100098,237500
04-06-2012,6848.5,6980.350098,6816.350098,6960.5,6960.5,232800
05-06-2012,6993.600098,7039.25,6983,7021.899902,7021.899902,219800
06-06-2012,7038.149902,7193.850098,7038.149902,7181,7181,317800
07-06-2012,7224.25,7269.700195,7210.299805,7228.700195,7228.700195,293300
08-06-2012,7192.450195,7274.700195,7133.049805,7255,7255,230800
11-06-2012,7307.649902,7343.399902,7200.100098,7217.850098,7217.850098,237700
12-06-2012,7173.299805,7289,7167.399902,7270.850098,7270.850098,205200
13-06-2012,7273.100098,7282.649902,7218.25,7254,7254,193500
14-06-2012,7244.399902,7267,7172.100098,7206.299805,7206.299805,214500
15-06-2012,7225.399902,7289.950195,7225.399902,7267.5,7267.5,281900
18-06-2012,7309.299805,7336.600098,7163.299805,7202.850098,7202.850098,174500
19-06-2012,7175.899902,7342.5,7175.899902,7328.399902,7328.399902,247600
20-06-2012,7349.25,7403.850098,7341.100098,7375.100098,7375.100098,218000
21-06-2012,7353.25,7355.200195,7270.700195,7323.649902,7323.649902,247800
22-06-2012,7267.450195,7342.25,7227.450195,7319.549805,7319.549805,282700
25-06-2012,7335.450195,7391.899902,7278.450195,7297.450195,7297.450195,216800
26-06-2012,7302.950195,7404.100098,7302.950195,7385.75,7385.75,190300
27-06-2012,7430.299805,7449.25,7364.850098,7396.350098,7396.350098,215000
28-06-2012,7411.450195,7440.350098,7352.950195,7385.649902,7385.649902,218200
29-06-2012,7424.100098,7558,7424.100098,7543.5,7543.5,977300
02-07-2012,7544.600098,7574.850098,7492.049805,7560.350098,7560.350098,216600
03-07-2012,7590.200195,7617.049805,7545.5,7588.299805,7588.299805,220100
04-07-2012,7614.5,7614.5,7510.700195,7561,7561,242400
05-07-2012,7561.25,7584.25,7532.299805,7565.850098,7565.850098,214900
06-07-2012,7564.850098,7564.850098,7489.450195,7530.049805,7530.049805,184400
09-07-2012,7483.950195,7522.549805,7455.600098,7479.049805,7479.049805,160100
10-07-2012,7476.5,7558.799805,7476.5,7544.600098,7544.600098,188800
11-07-2012,7485.049805,7521.25,7450.950195,7466.850098,7466.850098,191600
12-07-2012,7423.549805,7495.850098,7423.549805,7474.799805,7474.799805,217000
13-07-2012,7465.600098,7514.700195,7451.350098,7465.450195,7465.450195,173800
16-07-2012,7466.75,7503.450195,7431.850098,7463.549805,7463.549805,172100
17-07-2012,7486.350098,7512.700195,7413.149902,7427.850098,7427.850098,172500
18-07-2012,7429.799805,7458.149902,7401.5,7419.899902,7419.899902,159500
19-07-2012,7460.299805,7518.25,7460.299805,7506.649902,7506.649902,232800
20-07-2012,7472.950195,7489.75,7426.549805,7451.149902,7451.149902,125400
23-07-2012,7392.399902,7426.600098,7322.100098,7370.799805,7370.799805,180100
24-07-2012,7398.25,7432.200195,7369.649902,7414.100098,7414.100098,222000
25-07-2012,7388.75,7399.25,7314.399902,7364.899902,7364.899902,193800
26-07-2012,7390.149902,7390.149902,7235.049805,7254.149902,7254.149902,329000
