Date,Open,High,Low,Close,Adj Close,Volume
22-08-2011,2684.899902,2743.149902,2667.649902,2733.199951,2733.199951,1074600
23-08-2011,2750.050049,2768.550049,2730.699951,2762.199951,2762.199951,998800
24-08-2011,2754.600098,2779.949951,2723.350098,2731.25,2731.25,1144600
25-08-2011,2740.649902,2745.350098,2696.949951,2721.699951,2721.699951,1656900
26-08-2011,2720.649902,2735.800049,2660.350098,2668.75,2668.75,1311600
29-08-2011,2699,2770.449951,2699,2759.25,2759.25,1381200
30-08-2011,2778.649902,2805.399902,2751.449951,2780.300049,2780.300049,1409600
02-09-2011,2828.149902,2828.149902,2760.75,2785.399902,2785.399902,1535000
05-09-2011,2758.75,2791.399902,2750.949951,2788.050049,2788.050049,1531400
06-09-2011,2778.5,2791.649902,2738.800049,2782.850098,2782.850098,1685300
07-09-2011,2789.5,2854.75,2789.5,2845.5,2845.5,1847900
08-09-2011,2856.300049,2873,2827.399902,2856.300049,2856.300049,1428500
09-09-2011,2861.199951,2868.699951,2804.199951,2810.199951,2810.199951,1369800
12-09-2011,2778.75,2778.75,2727.699951,2743.050049,2743.050049,1047600
13-09-2011,2755.75,2788.850098,2726.899902,2734.899902,2734.899902,1109700
14-09-2011,2744.899902,2744.899902,2694.5,2726.600098,2726.600098,1085600
15-09-2011,2747.199951,2748.649902,2701.300049,2739.100098,2739.100098,1215000
16-09-2011,2753.100098,2777.649902,2737.949951,2757.100098,2757.100098,1501300
19-09-2011,2743.149902,2744.649902,2718.050049,2721.350098,2721.350098,985000
20-09-2011,2724.800049,2751.399902,2719.550049,2748.350098,2748.350098,1005700
21-09-2011,2754,2774.800049,2751.75,2757.949951,2757.949951,1201200
22-09-2011,2728.050049,2728.050049,2625,2633.199951,2633.199951,1259300
23-09-2011,2614.449951,2649.399902,2579.300049,2620.050049,2620.050049,1393300
26-09-2011,2629.899902,2629.899902,2568.449951,2600.350098,2600.350098,1081200
27-09-2011,2636.850098,2670.649902,2636.850098,2662.600098,2662.600098,1044600
28-09-2011,2676.300049,2676.300049,2610.899902,2621.800049,2621.800049,1112700
29-09-2011,2613.850098,2622.850098,2577.949951,2615.199951,2615.199951,1515600
30-09-2011,2607.699951,2632.25,2583.449951,2588.949951,2588.949951,1380700
03-10-2011,2562.350098,2562.5,2521.949951,2534.600098,2534.600098,1012300
04-10-2011,2527.100098,2573.449951,2505.5,2524.050049,2524.050049,1109200
05-10-2011,2539.800049,2560.100098,2518.149902,2521.800049,2521.800049,1054900
